start_station,end_station,directions_time_min,same_line,interchange_station,metro_distance_km,start_lat,start_lng,end_lat,end_lng,start_place_id,end_place_id,start_line,end_line,transfer_count
Silk Institute,Hosa Road,41.0,False,Rashtreeya Vidyalaya Road,21.166000000000004,12.861672,77.52998099999999,12.8701588,77.65275489999999,ChIJ3R4Xzm9ArjsROzhpuVg2fho,ChIJuxhHXABrrjsRpr4dxIc4U0o,Green Line,Yellow Line,1
Hosa Road,Silk Institute,41.0,False,Rashtreeya Vidyalaya Road,21.166000000000004,12.8701588,77.65275489999999,12.861672,77.52998099999999,ChIJuxhHXABrrjsRpr4dxIc4U0o,ChIJ3R4Xzm9ArjsROzhpuVg2fho,Yellow Line,Green Line,1
Silk Institute,Beratena Agrahara,43.0,False,Rashtreeya Vidyalaya Road,22.323,12.861672,77.52998099999999,12.863676,77.65789699999999,ChIJ3R4Xzm9ArjsROzhpuVg2fho,ChIJcQD1x6ZsrjsRfxn6LH0Rfv4,Green Line,Yellow Line,1
Beratena Agrahara,Silk Institute,43.0,False,Rashtreeya Vidyalaya Road,22.323,12.863676,77.65789699999999,12.861672,77.52998099999999,ChIJcQD1x6ZsrjsRfxn6LH0Rfv4,ChIJ3R4Xzm9ArjsROzhpuVg2fho,Yellow Line,Green Line,1
Silk Institute,Electronic City,44.0,False,Rashtreeya Vidyalaya Road,23.485000000000003,12.861672,77.52998099999999,12.8562351,77.6637798,ChIJ3R4Xzm9ArjsROzhpuVg2fho,ChIJdwCsOsZtrjsRnOwQj5-fdAY,Green Line,Yellow Line,1
Electronic City,Silk Institute,44.0,False,Rashtreeya Vidyalaya Road,23.485000000000003,12.8562351,77.6637798,12.861672,77.52998099999999,ChIJdwCsOsZtrjsRnOwQj5-fdAY,ChIJ3R4Xzm9ArjsROzhpuVg2fho,Yellow Line,Green Line,1
Silk Institute,Infosys Foundation Konappana Agrahara,47.0,False,Rashtreeya Vidyalaya Road,25.211000000000002,12.861672,77.52998099999999,12.84626,77.67114699999999,ChIJ3R4Xzm9ArjsROzhpuVg2fho,ChIJ8dqs_o1srjsR6g5x43RGVag,Green Line,Yellow Line,1
Infosys Foundation Konappana Agrahara,Silk Institute,47.0,False,Rashtreeya Vidyalaya Road,25.211000000000002,12.84626,77.67114699999999,12.861672,77.52998099999999,ChIJ8dqs_o1srjsR6g5x43RGVag,ChIJ3R4Xzm9ArjsROzhpuVg2fho,Yellow Line,Green Line,1
Silk Institute,Huskur Road,49.0,False,Rashtreeya Vidyalaya Road,26.831000000000003,12.861672,77.52998099999999,12.838885,77.677433,ChIJ3R4Xzm9ArjsROzhpuVg2fho,ChIJRy2y2_RsrjsRnL3f4oQ1FqM,Green Line,Yellow Line,1
Huskur Road,Silk Institute,49.0,False,Rashtreeya Vidyalaya Road,26.831000000000003,12.838885,77.677433,12.861672,77.52998099999999,ChIJRy2y2_RsrjsRnL3f4oQ1FqM,ChIJ3R4Xzm9ArjsROzhpuVg2fho,Yellow Line,Green Line,1
Silk Institute,Biocon Hebbagodi,50.0,False,Rashtreeya Vidyalaya Road,28.241000000000003,12.861672,77.52998099999999,12.828967,77.681405,ChIJ3R4Xzm9ArjsROzhpuVg2fho,ChIJx19GElxsrjsRafNq-buRnPM,Green Line,Yellow Line,1
Biocon Hebbagodi,Silk Institute,50.0,False,Rashtreeya Vidyalaya Road,28.241000000000003,12.828967,77.681405,12.861672,77.52998099999999,ChIJx19GElxsrjsRafNq-buRnPM,ChIJ3R4Xzm9ArjsROzhpuVg2fho,Yellow Line,Green Line,1
Silk Institute,Delta Electronics Bommasandra,52.0,False,Rashtreeya Vidyalaya Road,29.572000000000003,12.861672,77.52998099999999,12.8193154,77.68834009999999,ChIJ3R4Xzm9ArjsROzhpuVg2fho,ChIJ69SM2khtrjsRuP3F0YoA2Go,Green Line,Yellow Line,1
